log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status,name,city,shift_preference,avg_hours_per_day,avg_earnings_per_hour,experience_months,rating,goal_id,shift_start_time,shift_end_time,target_earnings,target_hours,current_earnings,current_hours,status,earnings_velocity,goal_completion_forecast,trip_id,start_time,end_time,duration_min,distance_km,fare,surge_multiplier,pickup_location,dropoff_location,trip_status,hour_of_day,is_morning_rush,is_lunch_rush,trip_rate,velocity_last_1,velocity_last_2,velocity_last_3,rolling_velocity_3,rolling_velocity_5,goal_pressure,target
VEL115,DRV007,2024-02-06,1900-01-01 19:35:00,2223.9578217227067,7.49,300.37145786670453,173.0,125.13,8,ahead,Suresh Kumar,Bangalore,morning,7.2,178,15,4.7,GOAL206,06:16:00,15:26:00,1609.0,6.9,475.0,1.7,at_risk,279.41,on_track,TRIP043,13:01:00,13:19:00,18.0,15.5,404.0,1.5,Hinjewadi,South Delhi,completed,19.0,0,0,1.0396192171734862,298.13,298.13,298.13,298.13,298.13,-125.13,298.13
VEL074,DRV088,2024-02-06,1900-01-01 07:38:00,1376.3943053788432,0.85,634.5961653378123,198.0,1426.71,15,ahead,Lakshmi Driver88,Bangalore,afternoon,7.8,191,43,4.8,GOAL087,08:31:00,14:41:00,1229.0,8.0,769.0,3.1,at_risk,248.06,at_risk,TRIP038,08:26:00,08:51:00,25.0,15.5,187.0,1.4,Hinjewadi,Worli,completed,7.0,0,0,17.871223392025293,600.0,189.2,189.2,207.93666666666664,287.222,-402.0,600.0
VEL118,DRV008,2024-02-06,1900-01-01 19:35:00,179.0,5.86,30.55,199.0,-168.45,12,at_risk,Divya Menon,Chennai,full_day,9.0,188,22,4.8,GOAL207,06:31:00,12:41:00,1283.0,7.5,869.0,2.5,at_risk,347.6,ahead,TRIP071,17:17:00,17:48:00,31.0,18.5,191.0,1.5,Colaba,Whitefield,completed,19.0,0,0,2.04778156996587,30.55,127.42,127.42,62.839999999999996,183.18800000000002,168.45,165.67
VEL201,DRV095,2024-02-06,1900-01-01 11:15:00,1668.7543241115015,2.93,519.5043449363341,200.0,366.89,5,ahead,Vijay Driver95,Kolkata,evening,8.3,195,45,4.5,GOAL094,09:30:00,17:40:00,1248.0,8.1,1090.0,1.6,achieved,681.25,at_risk,TRIP112,10:04:00,10:40:00,36.0,9.6,164.0,1.5,Indiranagar,Koramangala,completed,11.0,0,0,1.8970557057644957,566.89,245.41,245.41,459.73,362.75999999999993,-366.89,600.0
VEL078,DRV062,2024-02-06,1900-01-01 08:32:00,561.1572377987936,5.47,102.31462933989114,167.0,-65.54,4,at_risk,Rahul Driver62,Pune,afternoon,8.7,178,36,4.5,GOAL061,07:14:00,14:24:00,1731.0,7.0,944.0,4.0,at_risk,236.0,ahead,TRIP182,08:14:00,08:33:00,19.0,17.1,203.0,1.3,Hinjewadi,HSR Layout,completed,8.0,0,0,0.7647564750493088,101.46,101.46,189.2,198.42333333333332,287.222,65.54,326.24
VEL151,DRV056,2024-02-06,1900-01-01 08:32:00,175.14722835056702,3.76,48.73178241496599,183.0,-134.6,5,at_risk,Neha Driver56,Delhi,evening,9.1,199,36,4.6,GOAL055,06:39:00,16:49:00,1626.0,6.4,1311.0,3.8,achieved,345.0,at_risk,TRIP075,09:45:00,09:12:00,27.0,11.8,182.0,1.1,Malad,Kharadi,completed,8.0,0,0,1.4287997758459086,48.4,600.0,366.06,307.51666666666665,287.222,134.6,48.4
VEL032,DRV001,2024-02-06,1900-01-01 19:35:00,1460.0949513720402,2.82,519.4218687851754,172.0,346.09,5,ahead,Alex Kumar,Mumbai,morning,7.5,185,18,4.8,GOAL001,06:30:00,14:30:00,1400.0,8.0,1423.0,7.5,achieved,189.73,on_track,TRIP151,13:37:00,13:15:00,38.0,16.8,381.0,1.5,Powai,Banjara Hills,completed,19.0,0,0,1.7277488645905916,518.09,518.09,518.09,518.09,518.09,-346.09000000000003,518.09
VEL054,DRV095,2024-02-06,1900-01-01 11:15:00,1386.5678908638192,5.66,229.54719508274812,176.0,69.41,11,ahead,Vijay Driver95,Kolkata,evening,8.3,195,45,4.5,GOAL094,09:30:00,17:40:00,1248.0,8.1,1090.0,1.6,achieved,681.25,at_risk,TRIP112,10:04:00,10:40:00,36.0,9.6,164.0,1.5,Indiranagar,Koramangala,completed,11.0,0,0,1.9319529287521975,245.41,189.2,189.2,226.67333333333332,287.222,-69.41,566.89
VEL054,DRV095,2024-02-06,1900-01-01 11:15:00,1388.780816984364,5.66,222.43592581384874,176.0,69.41,11,ahead,Vijay Driver95,Kolkata,evening,8.3,195,45,4.5,GOAL094,09:30:00,17:40:00,1248.0,8.1,1090.0,1.6,achieved,681.25,at_risk,TRIP007,10:48:00,11:15:00,27.0,13.8,245.0,1.0,Andheri,Malad,completed,11.0,0,0,1.8802290843304104,189.2,189.2,189.2,207.93666666666664,287.222,-69.41,245.41
VEL115,DRV007,2024-02-06,1900-01-01 19:35:00,2231.2751625167316,7.49,280.81067981668383,173.0,125.13,8,ahead,Suresh Kumar,Bangalore,morning,7.2,178,15,4.7,GOAL206,06:16:00,15:26:00,1609.0,6.9,475.0,1.7,at_risk,279.41,on_track,TRIP040,10:40:00,10:11:00,31.0,10.5,179.0,1.4,Indiranagar,Kharadi,completed,19.0,0,0,1.1886279132634745,298.13,298.13,298.13,298.13,298.13,-125.13,298.13
